"ID","Label","Elevation (Ground) (m)","Elevation (Rim) (m)","Elevation (Invert) (m)","Flow (Total In) (L/s)","Flow (Total Out) (L/s)","Depth (Out) (m)","Depth (Flooding) (m)","Depth (Surcharged) (m)","Hydraulic Grade Line (Out) (m)","Hydraulic Grade Line (In) (m)","Is Overflowing?","Notes"
275,275,2.40,2.40,-0.41,890.67,878.76,0.85,0.00,0.50,0.44,0.44,False,
276,276,2.40,2.40,0.50,457.91,455.43,0.44,0.00,0.50,0.94,0.94,False,
277,277,2.50,2.50,0.30,455.43,449.72,0.44,0.00,0.50,0.74,0.74,False,
278,278,2.40,2.40,-0.05,623.08,613.42,0.60,0.00,0.50,0.55,0.55,False,
279,279,2.40,2.40,-0.19,769.31,760.42,0.68,0.00,0.50,0.49,0.49,False,
280,280,2.40,2.40,-0.24,760.42,751.99,0.72,0.00,0.50,0.48,0.48,False,
281,281,2.40,2.40,-0.41,223.02,222.26,0.78,0.00,0.50,0.37,0.37,False,
282,282,2.40,2.40,-0.10,215.68,681.87,0.50,0.00,0.50,0.40,0.40,False,
283,283,3.36,3.36,1.66,121.64,121.55,0.15,0.00,0.50,1.81,1.81,False,
284,284,3.07,3.07,0.76,493.68,491.67,0.43,0.00,0.50,1.19,1.19,False,
285,285,2.93,2.93,1.43,213.86,213.37,0.24,0.00,0.50,1.67,1.67,False,
286,286,3.16,3.16,0.31,689.80,686.05,0.55,0.00,0.50,0.86,0.86,False,
287,287,2.87,2.87,-0.10,1091.18,1106.57,0.67,0.00,0.50,0.57,0.57,False,
288,288,4.01,4.01,2.59,116.42,116.23,0.14,0.00,0.50,2.73,2.73,False,
289,289,2.40,2.40,-0.55,323.75,323.67,1.16,0.00,0.50,0.61,0.61,False,
290,290,2.40,2.40,-0.45,95.63,95.45,1.05,0.00,0.50,0.60,0.60,False,
291,291,2.40,2.40,-0.45,315.09,314.94,1.05,0.00,0.50,0.60,0.60,False,
292,292,2.40,2.40,-0.45,245.48,245.06,1.05,0.00,0.50,0.60,0.60,False,
293,293,2.40,2.40,-0.45,329.16,328.53,1.06,0.00,0.50,0.61,0.61,False,
294,294,2.40,2.40,-0.45,314.98,314.83,1.05,0.00,0.50,0.60,0.60,False,
295,295,2.40,2.40,-0.45,259.17,258.68,1.05,0.00,0.50,0.60,0.60,False,
